cliente_id,customer_id_original,nome,estado,perfil_risco,origem_dado,renda_mensal,saldo_atual,churn_real,prob_churn,predicao_churn,risco,recomendacao
C001658,15752342,Bradley,Alemanha,Conservador,public_kaggle_churn_modelling,12089.28,133656.91,1,0.9897,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007963,15623630,Foster,Alemanha,Conservador,public_kaggle_churn_modelling,3535.82,116251.24,1,0.9781,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C001956,15779176,Dike,Alemanha,Conservador,public_kaggle_churn_modelling,11322.96,108888.24,1,0.9756,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004265,15761294,Manna,Alemanha,Conservador,public_kaggle_churn_modelling,10903.9,137464.04,1,0.9749,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009493,15775192,Rounsevell,Alemanha,Conservador,public_kaggle_churn_modelling,10071.07,102962.62,1,0.9745,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006360,15739972,Hughes,Alemanha,Conservador,public_kaggle_churn_modelling,12569.6,152367.21,1,0.9738,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002455,15636089,Hs?,Alemanha,Conservador,public_kaggle_churn_modelling,9143.2,145751.03,1,0.9734,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007765,15751177,Milne,Alemanha,Conservador,public_kaggle_churn_modelling,12115.59,119657.53,1,0.9733,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004403,15720637,Bell,Alemanha,Conservador,public_kaggle_churn_modelling,13882.25,120530.34,1,0.973,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003640,15793049,Atkins,Alemanha,Conservador,public_kaggle_churn_modelling,11629.88,115115.38,1,0.9722,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009439,15641175,Munro,Alemanha,Conservador,public_kaggle_churn_modelling,12060.62,120916.52,1,0.9721,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002569,15775905,Moore,Alemanha,Conservador,public_kaggle_churn_modelling,3812.52,130024.87,1,0.9717,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005932,15566988,Iqbal,Alemanha,Conservador,public_kaggle_churn_modelling,4216.26,141535.52,1,0.9704,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008642,15749103,Ginikanwa,Alemanha,Conservador,public_kaggle_churn_modelling,3981.43,118907.6,1,0.97,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005138,15601594,Ifeanacho,Franca,Conservador,public_kaggle_churn_modelling,13095.3,144237.91,1,0.9688,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009601,15570533,Conti,Alemanha,Conservador,public_kaggle_churn_modelling,6307.13,131033.76,1,0.9687,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002169,15805260,Wood,Alemanha,Conservador,public_kaggle_churn_modelling,7369.03,143249.67,1,0.9686,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003669,15586133,Pisano,Alemanha,Conservador,public_kaggle_churn_modelling,5714.57,122314.5,1,0.9686,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000071,15703793,Konovalova,Alemanha,Conservador,public_kaggle_churn_modelling,2364.49,133745.44,1,0.9686,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000250,15772423,Liao,Alemanha,Conservador,public_kaggle_churn_modelling,11201.73,126418.14,1,0.9684,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004564,15694376,Sullivan,Alemanha,Conservador,public_kaggle_churn_modelling,12214.47,153469.26,1,0.968,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004196,15747168,Sanders,Alemanha,Conservador,public_kaggle_churn_modelling,13872.95,103108.8,1,0.9677,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006520,15571869,Lei,Alemanha,Conservador,public_kaggle_churn_modelling,13865.52,112650.89,1,0.9676,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004014,15653776,Salier,Alemanha,Conservador,public_kaggle_churn_modelling,2262.14,162082.31,1,0.9675,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C001329,15574331,Alexeeva,Alemanha,Conservador,public_kaggle_churn_modelling,2063.79,118233.81,1,0.9672,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006319,15686835,Crawford,Alemanha,Conservador,public_kaggle_churn_modelling,12920.59,148384.64,1,0.9665,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007004,15715750,Okeke,Alemanha,Conservador,public_kaggle_churn_modelling,4422.71,113063.83,1,0.9662,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002121,15651554,Anenechukwu,Alemanha,Conservador,public_kaggle_churn_modelling,11131.11,118449.21,1,0.9659,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007734,15596013,Akhtar,Alemanha,Conservador,public_kaggle_churn_modelling,8552.38,143212.22,1,0.9653,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004885,15569274,Pisano,Alemanha,Conservador,public_kaggle_churn_modelling,16254.46,116933.11,1,0.9653,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006233,15718242,Wollstonecraft,Alemanha,Conservador,public_kaggle_churn_modelling,7218.55,104887.43,1,0.9648,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008300,15792473,Reilly,Alemanha,Conservador,public_kaggle_churn_modelling,5346.44,88379.81,1,0.9644,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
