cliente_id,customer_id_original,nome,idade,genero,cidade,estado,renda_mensal,saldo_atual,score_credito,tempo_relacionamento,produtos_ativos,tem_cartao_credito,membro_ativo,perfil_risco,data_cadastro,churn_flag,origem_dado,qtd_transacoes,valor_total,ticket_medio,desvio_valor,maior_transacao,menor_transacao,ultimo_movimento,primeira_transacao,qtd_outliers,dias_desde_ultima_transacao,meses_atividade,valor_credito,valor_debito,valor_pix,valor_transferencia,valor_macro_essencial,valor_macro_financeiro,valor_macro_investimento,valor_macro_lazer,valor_macro_outros,pct_canal_digital,media_mensal,desvio_mensal,pico_mensal,meses_relacionamento,razao_saldo_renda,gasto_total_saida,pressao_financeira,intensidade_credito,razao_gasto_renda,pct_essencial,pct_financeiro,pct_investimento,pct_lazer,pct_outros
C000001,15634602,Hargrave,42,Feminino,Paris,Franca,8445.74,0.0,619,2,1,1,1,Conservador,2023-05-01,1,public_kaggle_churn_modelling,21,31386.96,1494.6171428571429,1900.3466789434576,7925.6,515.11,2025-04-19,2024-01-15,2,12,15,14192.91,10013.61,3345.91,3834.5299999999997,12959.39,14708.02,1707.2,2012.35,0.0,0.8571428571428571,2092.464,2325.953242739722,7925.6,24,0.0,17194.05,2.0358251615607394,0.45219129217993714,3.716306682422144,0.4128908948174656,0.46860288476488327,0.05439201502789694,0.06411420538975421,0.0
C000002,15647311,Hill,41,Feminino,Madrid,Espanha,9378.55,83807.86,608,1,1,0,1,Moderado,2024-04-29,0,public_kaggle_churn_modelling,31,35098.090000000004,1132.1964516129033,842.5937447530629,5409.85,423.51,2025-04-30,2024-01-03,1,1,16,5409.85,15677.88,5768.13,8242.23,24095.62,2365.64,6940.72,1696.11,0.0,0.8387096774193549,2507.006428571429,1859.1332020123589,7054.150000000001,12,8.93612125541795,29688.24,3.1655469129023146,0.15413516803905852,3.7423791524276147,0.6865222580487997,0.06740081867702771,0.197752071409014,0.04832485186515847,0.0
C000003,15619304,Onio,42,Feminino,Paris,Franca,9494.3,159660.8,502,8,3,1,0,Conservador,2017-04-30,1,public_kaggle_churn_modelling,25,55477.01,2219.0804000000003,2431.041321319392,7193.0,491.05,2025-04-12,2024-01-11,6,19,15,38476.14,5559.0,6422.91,5018.96,26216.129999999997,13417.65,7193.0,2466.63,6183.6,0.36,4623.0841666666665,5384.510936396356,19600.93,97,16.81648989393636,17000.87,1.7906396469460624,0.6935510763828115,5.843191177864614,0.47255845259144275,0.24185964600471438,0.12965731210099463,0.04446220154979513,0.11146238775305302
C000004,15701354,Boni,39,Feminino,Paris,Franca,7818.89,0.0,699,1,2,0,0,Conservador,2024-04-27,0,public_kaggle_churn_modelling,18,25880.44,1437.802222222222,1819.2707654977503,6660.7,343.49,2025-03-22,2024-01-08,3,40,15,15697.14,2913.4300000000003,3000.55,4269.32,14677.439999999999,5444.26,0.0,1104.6100000000001,4654.13,0.6111111111111112,2156.7033333333334,2200.175049297559,6660.7,12,0.0,10183.3,1.3023971433285286,0.6065252368197759,3.309989013785844,0.5671248247711399,0.2103619567518945,0.0,0.04268126817009294,0.17983195030687268
C000005,15737888,Mitchell,43,Feminino,Madrid,Espanha,6590.34,125510.82,850,2,1,1,1,Arrojado,2023-04-27,0,public_kaggle_churn_modelling,20,27921.43,1396.0715,1657.9627699530115,5509.3,258.78,2025-04-04,2024-01-08,4,27,15,18167.85,5653.32,2584.71,1515.55,25985.2,0.0,0.0,1677.45,258.78,0.75,2147.8023076923077,2922.559012806397,10693.740000000002,24,19.044665373865385,9753.58,1.4799813059720743,0.6506776336312288,4.236720715471432,0.9306543396953523,0.0,0.0,0.060077510356740325,0.009268149947907395
C000006,15574012,Chu,44,Masculino,Madrid,Espanha,12479.73,113755.78,645,8,2,1,0,Conservador,2017-04-27,1,public_kaggle_churn_modelling,25,69745.38,2789.8152,3034.9624995694207,9383.39,693.79,2025-04-30,2024-03-10,6,1,14,47751.47,6084.61,11021.14,4888.16,31763.15,15454.09,0.0,19414.739999999998,3113.4,0.72,5812.115000000001,6903.834092320139,23082.58,98,9.11524367915011,21993.91,1.762370660262682,0.6846542380298164,5.588693024608706,0.455415828259879,0.22157869094698457,0.0,0.27836596488541604,0.04463951590772034
C000007,15592531,Bartlett,50,Masculino,Paris,Franca,1000.0,0.0,822,7,2,1,1,Moderado,2018-04-26,0,public_kaggle_churn_modelling,33,7780.76,235.78060606060606,254.6854895005234,893.69,37.13,2025-04-12,2024-02-20,0,19,14,5284.07,1333.87,390.0,772.82,4074.02,2328.71,1044.75,152.6,180.68,0.7575757575757576,518.7173333333334,517.5639140581944,1852.35,85,0.0,2496.69,2.49669,0.6791200345467537,7.78076,0.5236018075355107,0.29929081477901903,0.13427351569769533,0.019612480014805752,0.023221381972969222
C000008,15656148,Obinna,29,Feminino,Berlim,Alemanha,9945.57,115046.74,376,4,4,1,0,Conservador,2021-04-24,1,public_kaggle_churn_modelling,19,45180.340000000004,2377.9126315789476,2583.0598284761304,8738.54,715.46,2025-04-22,2024-01-02,4,9,16,27941.82,5186.17,7507.98,4544.37,12800.89,8738.54,13256.87,2663.81,7720.23,0.631578947368421,4107.303636363636,4023.265711118948,12904.27,49,11.567636646265624,17238.52,1.733286277206837,0.6184508571648641,4.542760244008137,0.28332876645018606,0.1934146577914199,0.29342120931360854,0.058959494328727935,0.17087587211605754
C000009,15792365,He,44,Masculino,Paris,Franca,6245.04,142051.07,501,4,2,0,1,Moderado,2021-04-23,0,public_kaggle_churn_modelling,37,40810.22,1102.978918918919,1064.621937486062,4665.73,346.35,2025-04-22,2024-01-25,3,9,15,18082.55,11267.69,5694.73,5765.25,23383.87,6384.22,3499.2299999999996,3218.3,4324.6,0.6756756756756757,2915.0157142857142,3442.531329704292,14109.449999999999,49,22.746222602257152,22727.670000000002,3.639315360670228,0.4430887655102079,6.534821234131407,0.5729905401147065,0.15643679450882647,0.0857439631543275,0.0788601482667822,0.10596855395535727
C000010,15592389,H?,27,Masculino,Paris,Franca,5977.14,134603.88,684,2,1,1,1,Arrojado,2023-04-22,0,public_kaggle_churn_modelling,32,41362.51,1292.5784375,1480.7002993812766,5065.62,260.96,2025-04-27,2024-01-01,6,4,16,25700.27,6519.76,5145.35,3997.13,24177.91,9707.89,0.0,7199.93,276.78,0.78125,2954.465,2133.180185334527,6326.95,25,22.51978036318373,15662.24,2.620356893096029,0.621342128415321,6.920117313631603,0.5845368184861122,0.23470263289147586,0.0,0.17406898179051514,0.006691566831896806
