cliente_id,customer_id_original,nome,idade,genero,cidade,estado,renda_mensal,saldo_atual,score_credito,tempo_relacionamento,produtos_ativos,tem_cartao_credito,membro_ativo,perfil_risco,data_cadastro,churn_flag,origem_dado
C000001,15634602,Hargrave,42,Feminino,Paris,Franca,8445.74,0.0,619,2,1,1,1,Conservador,2023-05-01,1,public_kaggle_churn_modelling
C000002,15647311,Hill,41,Feminino,Madrid,Espanha,9378.55,83807.86,608,1,1,0,1,Moderado,2024-04-29,0,public_kaggle_churn_modelling
C000003,15619304,Onio,42,Feminino,Paris,Franca,9494.3,159660.8,502,8,3,1,0,Conservador,2017-04-30,1,public_kaggle_churn_modelling
C000004,15701354,Boni,39,Feminino,Paris,Franca,7818.89,0.0,699,1,2,0,0,Conservador,2024-04-27,0,public_kaggle_churn_modelling
C000005,15737888,Mitchell,43,Feminino,Madrid,Espanha,6590.34,125510.82,850,2,1,1,1,Arrojado,2023-04-27,0,public_kaggle_churn_modelling
C000006,15574012,Chu,44,Masculino,Madrid,Espanha,12479.73,113755.78,645,8,2,1,0,Conservador,2017-04-27,1,public_kaggle_churn_modelling
C000007,15592531,Bartlett,50,Masculino,Paris,Franca,1000.0,0.0,822,7,2,1,1,Moderado,2018-04-26,0,public_kaggle_churn_modelling
C000008,15656148,Obinna,29,Feminino,Berlim,Alemanha,9945.57,115046.74,376,4,4,1,0,Conservador,2021-04-24,1,public_kaggle_churn_modelling
C000009,15792365,He,44,Masculino,Paris,Franca,6245.04,142051.07,501,4,2,0,1,Moderado,2021-04-23,0,public_kaggle_churn_modelling
C000010,15592389,H?,27,Masculino,Paris,Franca,5977.14,134603.88,684,2,1,1,1,Arrojado,2023-04-22,0,public_kaggle_churn_modelling
C000011,15767821,Bearce,31,Masculino,Paris,Franca,6681.76,102016.72,528,6,2,0,0,Conservador,2019-04-22,0,public_kaggle_churn_modelling
C000012,15737173,Andrews,24,Masculino,Madrid,Espanha,6365.83,0.0,497,3,2,1,0,Conservador,2022-04-20,0,public_kaggle_churn_modelling
C000013,15632264,Kay,34,Feminino,Paris,Franca,2188.42,0.0,476,10,2,1,0,Conservador,2015-04-21,0,public_kaggle_churn_modelling
C000014,15691483,Chin,25,Feminino,Paris,Franca,15904.82,0.0,549,5,2,0,0,Conservador,2020-04-18,0,public_kaggle_churn_modelling
C000015,15600882,Scott,35,Feminino,Madrid,Espanha,5495.97,0.0,635,7,2,1,1,Conservador,2018-04-18,0,public_kaggle_churn_modelling
C000016,15643966,Goforth,45,Masculino,Berlim,Alemanha,5360.6,143129.41,616,3,2,0,1,Moderado,2022-04-16,0,public_kaggle_churn_modelling
C000017,15737452,Romeo,58,Masculino,Berlim,Alemanha,1000.0,132602.88,653,1,1,1,0,Conservador,2024-04-14,1,public_kaggle_churn_modelling
C000018,15788218,Henderson,24,Feminino,Madrid,Espanha,1200.53,0.0,549,9,2,1,1,Conservador,2016-04-15,0,public_kaggle_churn_modelling
C000019,15661507,Muldrow,45,Masculino,Madrid,Espanha,13223.73,0.0,587,6,1,0,0,Conservador,2019-04-14,0,public_kaggle_churn_modelling
C000020,15568982,Hao,24,Feminino,Paris,Franca,4560.34,0.0,726,6,2,1,1,Moderado,2019-04-13,0,public_kaggle_churn_modelling
C000021,15577657,McDonald,41,Masculino,Paris,Franca,14240.51,0.0,732,8,2,1,1,Moderado,2017-04-12,0,public_kaggle_churn_modelling
C000022,15597945,Dellucci,32,Feminino,Madrid,Espanha,11546.29,0.0,636,8,2,1,0,Conservador,2017-04-11,0,public_kaggle_churn_modelling
C000023,15699309,Gerasimov,38,Feminino,Madrid,Espanha,9909.46,0.0,510,4,1,1,0,Conservador,2021-04-09,1,public_kaggle_churn_modelling
C000024,15725737,Mosman,46,Masculino,Paris,Franca,1000.0,0.0,669,3,2,0,1,Moderado,2022-04-08,0,public_kaggle_churn_modelling
C000025,15625047,Yen,38,Feminino,Paris,Franca,15634.68,0.0,846,5,1,1,1,Moderado,2020-04-07,0,public_kaggle_churn_modelling
C000026,15738191,Maclean,25,Masculino,Paris,Franca,10375.69,0.0,577,3,2,0,1,Conservador,2022-04-06,0,public_kaggle_churn_modelling
